         1584889 function calls (1445912 primitive calls) in 5.383 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9360    0.016    0.000    0.020    0.000 {built-in method builtins.setattr}
       76    0.001    0.000    0.020    0.000 _typeinfo.py:140(register)
        2    0.000    0.000    0.020    0.010 _sockets.py:1(<module>)
        1    0.001    0.001    0.020    0.020 param_functions.py:1(<module>)
3947/3922    0.008    0.000    0.020    0.000 {built-in method builtins.issubclass}
    13329    0.019    0.000    0.019    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.019    0.019 compat.py:18(_resolve_char_detection)
 2054/484    0.013    0.000    0.019    0.000 _parser.py:177(getwidth)
        4    0.001    0.000    0.019    0.005 preloaded.py:127(import_prefix)
        2    0.000    0.000    0.019    0.010 _enums.py:1(<module>)
        1    0.000    0.000    0.019    0.019 relationships.py:1(<module>)
    11938    0.019    0.000    0.019    0.000 {method 'rpartition' of 'str' objects}
     4399    0.013    0.000    0.019    0.000 _generate_schema.py:352(_config_wrapper)
      118    0.001    0.000    0.019    0.000 fields.py:280(from_annotation)
      547    0.004    0.000    0.019    0.000 typing.py:2199(__init_subclass__)
        3    0.000    0.000    0.019    0.006 parser.py:56(parsestr)
        3    0.000    0.000    0.019    0.006 parser.py:41(parse)
       76    0.001    0.000    0.019    0.000 array.py:316(register_array)
        2    0.000    0.000    0.019    0.009 responses.py:1(<module>)
     1361    0.008    0.000    0.018    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.018    0.018 filters.py:1(<module>)
      486    0.006    0.000    0.018    0.000 typing.py:379(_remove_dups_flatten)
       41    0.002    0.000    0.018    0.000 typing.py:812(Literal)
       90    0.001    0.000    0.018    0.000 typing.py:1733(__getitem_inner__)
        1    0.000    0.000    0.018    0.018 adapters.py:1(<module>)
      265    0.005    0.000    0.018    0.000 dataclasses.py:768(_get_field)
   118/58    0.008    0.000    0.018    0.000 _decorators.py:426(build)
     7129    0.014    0.000    0.018    0.000 _parser.py:255(match)
        1    0.000    0.000    0.018    0.018 _core_utils.py:1(<module>)
     1230    0.005    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      692    0.002    0.000    0.018    0.000 <frozen importlib._bootstrap>:420(__exit__)
